,Unnamed: 0,accident_id,accident_year,outcome,num_parties,party1_type,party2_type,accident_nature,road_situation,built_up_area,speed_limit_kmh,street_lighting,road_surface,road_condition,light_condition,weather_condition,street_name,municipality,shape,geometry,longitude,latitude,cluster,future_hotspot_spatial,outcome_encoded,future_hotspot_pred
0,58,20210077485,2021,Uitsluitend materiele schade,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Unknown,Nat,Duisternis,Droog,Middenweg,amsterdam,POINT (124415.5298999995 484676.3922000006),POINT (4.938331880430102 52.3491439360283),4.938331880430102,52.3491439360283,1,1,2,1
1,91,20210081692,2021,Uitsluitend materiele schade,2,personenauto,e-bike,Frontaal,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Overschiestraat,amsterdam,POINT (117678.65309999883 484278.08260000125),POINT (4.83950635628552 52.34514797053482),4.83950635628552,52.34514797053482,1,1,2,1
2,106,20210081708,2021,Uitsluitend materiele schade,2,snorfiets,fiets,Frontaal,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Rozenburglaan,amsterdam,POINT (124437.1950000003 483597.2190000005),POINT (4.938747822317208 52.33944619086022),4.938747822317208,52.33944619086022,1,1,2,1
3,154,20210080056,2021,Uitsluitend materiele schade,2,e-bike,landbouwvoertuig,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Th. K. van Lohuizenlaan,amsterdam,POINT (124961 486566),POINT (4.946168489078478 52.366156634505806),4.946168489078478,52.366156634505806,1,1,2,1
4,155,20210080070,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Spuistraat,amsterdam,POINT (121107.48209999874 487274.5234000012),POINT (4.889521223504305 52.37230007491118),4.889521223504305,52.37230007491118,1,1,2,1
5,156,20210080071,2021,Letsel,2,personenauto,fiets,Flank,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Kamerlingh Onneslaan,amsterdam,POINT (123349.29100000113 484580.4129999988),POINT (4.922692758432155 52.3482209595826),4.922692758432155,52.3482209595826,1,1,1,1
6,159,20210087204,2021,Letsel,2,bestelauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,Droog,Postjesweg,amsterdam,POINT (118694.44330000132 486402.67330000177),POINT (4.854183357721378 52.36431030413606),4.854183357721378,52.36431030413606,1,1,1,1
7,164,20210086191,2021,Uitsluitend materiele schade,2,personenauto,fiets,Flank,Rechte weg,Binnen,Unknown,Niet brandend,Unknown,Droog,Daglicht,Droog,Ookmeerweg,amsterdam,POINT (113805.39999999851 486078.8040000014),POINT (4.782448029546488 52.36105471179524),4.782448029546488,52.36105471179524,1,1,2,1
8,171,20210084850,2021,Letsel,2,bromfiets,fiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,Regen,Jacob van Lennepstraat,amsterdam,POINT (119968 486601),POINT (4.872859712971377 52.36617542559926),4.872859712971377,52.36617542559926,1,1,1,1
9,464,20210013586,2021,Uitsluitend materiele schade,2,snorfiets,fiets,Flank,Bocht,Binnen,50.0,Niet brandend,Unknown,Droog,Daglicht,Droog,Prins Hendrikkade,amsterdam,POINT (121571.84600000083 487987.23099999875),POINT (4.896268880725042 52.37873384772246),4.896268880725042,52.37873384772246,1,1,2,1
10,584,20210018848,2021,Letsel,2,personenauto,bromfiets,Flank,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,Droog,Th. Weeversweg,amsterdam,POINT (124812.42199999839 490053.6330000013),POINT (4.943673732563549 52.3974929874252),4.943673732563549,52.3974929874252,1,1,1,1
